start	end	text
228000	234000	porque nem que você dormir e se acordasse comigo, eu vestida daquele jeito,
234000	237000	você não ia conseguir meter daquele jeito, um dia você tem olheira,
237000	240000	outro dia você não tem, um dia está enxado, tudo de assentar,
240000	243000	é todo mundo ser humano, eu não quero ser uma barba,
243000	248000	eu só uso uma imagem que eu gosto, e como essa é a imagem que eu estou criando pra mim,
248000	253000	daqui, pro final do ano, daqui, meu projeto verão, pra mar sobril,
253000	257000	por que que eu não posso usar, se foi feita dos meus traços,
257000	263000	só eu, quem falar que não sou eu, vai ter que discutir com o médico e falar,
263000	269000	e quem falar não é você daqui um mês, dois meses, três meses, quatro meses,
269000	274000	também não, então assim, esse ponto, essa página eu já virei,
274000	279000	se você gosta de mim, se você não gosta, porque eu não estou ali vender uma imagem,
280000	283000	nem quero, nunca gostei, nunca gostei de um vídeo,
283000	288000	não faço vídeo, não fã, não gosto, nunca fui,
288000	292000	então assim, ali é um jeito que eu vou estar, que eu estou me preparando,
292000	296000	e que eu sempre fui, se você me conhecer esse lá atrás,
296000	299000	dez anos atrás, desde nova,
299000	303000	você ia ver que eu sou uma mulher muito mais bonita que a da foto,
303000	305000	mas eu não vou viver de imagem,
305000	309000	e eu não estou vendendo a minha imagem, estou vendendo meu trabalho de inteligência comercial,
309000	313000	se você está comprando pela minha foto, é problema seu,
313000	315000	eu não estou vendendo minha foto,
317000	320000	eu estou vendendo meu texto ali, no link edim,
320000	322000	eu estou vendendo meu trabalho mesmo,
322000	325000	porque inteligência comercial, bastidores,
325000	327000	eu não preciso nem aparecer,
328000	333000	eu vou aparecer em um que lugar, pra fazer o que de reunião, não vou vender nada,
333000	337000	o meu serviço, que eu vendo de inteligência comercial,
337000	339000	eu faço ele em home office,
339000	343000	você me contrata, o máximo eu vou precisar fazer uma reunião online com você,
343000	345000	e daí, se você não está comprando a minha imagem,
345000	347000	não vou fazer propaganda pra sua marca, pra nada,
347000	350000	eu vou te entregar um trabalho, uma consultoria,
350000	352000	uma relação de clientes,
352000	354000	uns contatos aquecidos,
354000	357000	nem não tem nada a ver com a minha imagem.
359000	361000	Então assim, pra mim, de novo,
361000	364000	você é só mais um, e eu não ligo,
364000	366000	porque não vai mudar,
366000	368000	você pode falar, você está louca,
368000	370000	você quer ser quem você não é,
370000	373000	e não é muito diferente, é uma pessoa bem arrumada,
373000	375000	ali, eu te garanto,
375000	377000	que se você me der,
377000	379000	um dia de salão de beleza,
379000	381000	de maquiagem, uma roupa,
381000	384000	eu vou ficar muito próxima daquilo,
384000	386000	só não vou estar com a pele esticada,
386000	387000	igual ali,
387000	390000	porque eu não vou ter feito o rejuvencimento ainda,
391000	393000	enquanto isso não muda nada,
393000	395000	porque eu não estou vendendo a minha imagem,
395000	396000	pra ninguém,
396000	398000	e nem o lugar está escrito,
398000	399000	que você vai comprar,
399000	401000	porque você não está me contratando
401000	403000	pra fazer propaganda pra sua empresa,
403000	405000	eu não vou ser vendedor a sua,
405000	406000	eu não vou nada,
406000	408000	eu faço pré-vendas,
408000	409000	inteligentes comercial,
409000	410000	conecto pessoas,
410000	412000	pra isso eu posso ser desidentado,
412000	414000	eu posso ser gorda, baixa,
414000	415000	mas por que você não se mostra,
415000	416000	então sem maquiagem,
416000	417000	porque ninguém faz isso,
417000	420000	mercado comercial não existe isso,
421000	424000	e outra coisa pra ser bem grosseira,
424000	427000	não com você,
427000	429000	mas com a situação,
429000	430000	a rede social é minha,
430000	431000	eu faço que eu quiser,
431000	434000	e se as pessoas estão deixando de comprar ou comprando,
434000	436000	porque eu sou bonita,
436000	437000	feia, magra, gorda,
437000	439000	aí é problema delas,
439000	441000	eu não estou vendendo a minha imagem,
