09-16 15:00:00.293 23970 23970 E AndroidRuntime: FATAL EXCEPTION: main
09-16 15:00:00.293 23970 23970 E AndroidRuntime: Process: br.com.wanotifkeeper, PID: 23970
09-16 15:00:00.293 23970 23970 E AndroidRuntime: java.lang.IllegalStateException: A migration from 6 to 5 was required but not found. Please provide the necessary Migration path via RoomDatabase.Builder.addMigration(Migration ...) or allow for destructive migrations via one of the RoomDatabase.Builder.fallbackToDestructiveMigration* methods.
09-16 15:00:00.293 23970 23970 E AndroidRuntime: 	at br.com.wanotifkeeper.NotifDao_Impl$24.call(NotifDao_Impl.java:808)
09-16 15:00:00.293 23970 23970 E AndroidRuntime: 	at br.com.wanotifkeeper.NotifDao_Impl$24.call(NotifDao_Impl.java:804)
09-16 15:00:00.293 23970 23970 E AndroidRuntime: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1100)
09-16 15:00:00.293 23970 23970 E AndroidRuntime: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
09-16 15:00:00.293 23970 23970 E AndroidRuntime: 	Suppressed: kotlinx.coroutines.internal.DiagnosticCoroutineContextException: [StandaloneCoroutine{Cancelling}@f587e05, Dispatchers.Main.immediate]
09-18 16:57:54.315  1810  3566 D FreecessHandler: skipping freeze br.com.wanotifkeeper(10545) result : 8
09-18 16:57:54.466  1810  1873 D BatteryExternalStatsWorker: update stats : remove-uid (1)
09-18 16:57:54.606  1810  1873 D BatteryExternalStatsWorker: Update CPU state
09-18 16:57:54.606  1810  1873 D BatteryExternalStatsWorker: mStats lock released
09-18 16:57:54.606  1810  1873 D BatteryExternalStatsWorker: done updateExternalStatsLocked
09-18 16:57:56.209  1810  1857 I AppWidgetServiceImpl: handleSaveMessage 0
09-18 16:57:57.217  1810  3566 D FreecessHandler: skipping freeze com.whatsapp.w4b(10328) result : 7
09-18 16:57:57.392   615   615 D io_stats: !@ Write_top(KB): kworker/u32:5:/(27950) 7104 kworker/u32:2:/(29759) 5124 f2fs_ckpt-254:6:/(818) 924
09-18 16:57:58.337  1810  2023 D ActivityManager: Received BROADCAST intent 0x5c27aa4 Key{broadcastIntent pkg=com.facebook.services intent=act=com.facebook.rti.fbns.intent.ACTION_ALARM.FBNS_SCHEDULED_BROADCAST_TIMEOUT xflg=0x4 pkg=com.facebook.services flags=0x4000000 u=0} requestCode=0 sent=0 from uid 1000
09-18 16:57:58.339  1810  2023 D ActivityManager: Received BROADCAST intent 0x85d846d Key{broadcastIntent pkg=com.google.android.gms/com.google.android.gms.scheduler intent=act=com.google.android.gms.gcm.ACTION_CHECK_QUEUE xflg=0x4 pkg=com.google.android.gms cmp=com.google.android.gms/.gcm.nts.SchedulerInternalReceiver flags=0x2000000 u=0} requestCode=0 sent=0 from uid 1000
09-18 16:57:58.350  1810  4617 D AlarmManager: BT=2, AT=3, WE=600000, WL=450000, uid=10071, pkg=com.facebook.services, action=com.facebook.rti.fbns.intent.ACTION_ALARM.FBNS_SCHEDULED_BROADCAST_TIMEOUT
09-18 16:57:59.426  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:58:00.331  1810  3566 D MARs:ActiveTrafficFilter: filter : br.com.wanotifkeeper(0)
09-18 16:58:00.332  1810  3566 D FreecessHandler: skipping freeze br.com.wanotifkeeper(10545) result : 8
09-18 16:58:00.724  1810  1810 D OlafRestriction:  sending trigger onRestrictionStateChanged msg.
09-18 16:58:00.724  1810  4593 D ActivityTaskManager: scheduleTopResumedActivityChanged, onTop=false, r=ActivityRecord{215385499 u0 com.zhiliaoapp.musically/com.ss.android.ugc.aweme.splash.SplashActivity t21422}, caller=com.android.server.wm.ActivityTaskSupervisor.scheduleTopResumedActivityStateLossIfNeeded:19 com.android.server.wm.ActivityTaskSupervisor.updateTopResumedActivityIfNeeded:44 com.android.server.wm.TaskFragment.setResumedActivity:29 com.android.server.wm.ActivityRecord.setState:91 com.android.server.wm.TaskFragment.startPausing$1:231 com.android.server.wm.TaskFragment.resumeTopActivity:772 
09-18 16:58:00.762  1810  4593 D SGM:FgCheckThread: notifyAppCreated(), packageName: com.zhiliaoapp.musically, userId: 0, sendRet: true
09-18 16:58:00.762  1810  2205 I CocktailBarManagerServiceContainer: handleMessage: entry what = 6
09-18 16:58:00.763  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:58:00.764  1810  4593 D ActivityTaskManager: scheduleTopResumedActivityChanged, onTop=true, r=ActivityRecord{265212920 u0 com.zhiliaoapp.musically/com.ss.android.ugc.aweme.ecommerce.base.osp.page.OrderSubmitActivity t21422}, caller=com.android.server.wm.ActivityTaskSupervisor.scheduleTopResumedActivityStateIfNeeded:18 com.android.server.wm.ActivityTaskSupervisor.handleTopResumedStateReleasedIfNeeded:57 com.android.server.wm.ActivityRecord.activityPaused:94 com.android.server.wm.ActivityClientController.activityPaused:26 android.app.IActivityClientController$Stub.onTransact:812 com.android.server.wm.ActivityClientController.onTransact:1 
09-18 16:58:00.803  1810  2205 I CocktailBarManagerServiceContainer: handleMessage: entry what = 5
09-18 16:58:00.804  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:58:00.807  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:58:00.846  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:58:00.954  1810  1848 V WindowManager:     startWCT=WindowContainerTransaction { changes= {} hops= [] errorCallbackToken=null taskFragmentOrganizer=null }
09-18 16:58:01.260  1810  4593 V WindowManager: Setting visibility of Window{9c70153 u0 com.zhiliaoapp.musically/com.ss.android.ugc.aweme.splash.SplashActivity}: false, caller=com.android.server.wm.WindowContainer.sendAppVisibilityToClients:19 com.android.server.wm.WindowToken.setClientVisible:91 com.android.server.wm.ActivityRecord.commitVisibility:186 com.android.server.wm.TransitionController.finishTransition:989 com.android.server.wm.WindowOrganizerController.finishTransitionInner:34 
09-18 16:58:01.260  1810  4593 V WindowManager: Setting visibility of Window{e851f0 u0 com.zhiliaoapp.musically/com.ss.android.ugc.aweme.splash.SplashActivity}: false, caller=com.android.server.wm.WindowContainer.sendAppVisibilityToClients:19 com.android.server.wm.WindowToken.setClientVisible:91 com.android.server.wm.ActivityRecord.commitVisibility:186 com.android.server.wm.TransitionController.finishTransition:989 com.android.server.wm.WindowOrganizerController.finishTransitionInner:34 
09-18 16:58:01.306  1810  3536 D ActivityManager: unpendingScheduleServiceRestart: u=10279, drop=false
09-18 16:58:01.308  1810  3536 D ActivityManager: unpendingScheduleServiceRestart: u=10500, drop=false
09-18 16:58:01.310  1810  1851 D SGM:FgCheckThread: getForegroundApp(), foregroundPkgName=com.zhiliaoapp.musically
09-18 16:58:01.310  1810  1851 D SGM:FgCheckThread: pkgName: com.zhiliaoapp.musically is in foreground
09-18 16:58:01.311  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:58:01.394   615   615 D io_stats: !@ Write_top(KB): f2fs_ckpt-254:6:/(818) 3156 kworker/u32:0:/(23812) 912 aoapp.musically:top(23882) 744
09-18 16:58:01.489  1810  1851 D SGM:GameManager: identifyForegroundApp. com.zhiliaoapp.musically, mCurrentUserId: 0, callerUserId: 0
09-18 16:58:01.489  1810  1851 D SGM:SemGameManager: isForegroundGame(), ret=false
09-18 16:58:02.230  1810  1810 D OlafRestriction:  sending trigger onRestrictionStateChanged msg.
09-18 16:58:02.241  1810  3566 D FreecessController: BG freezed, skip OLAF unfreeze for (com.whatsapp, 10329)
09-18 16:58:02.244  1810  3566 D FreecessController: UFZ : com.artech.eaplic.havan(10500) [28124] reason: Binder(1)-android.service.notification.INotificatio
09-18 16:58:02.883  1810  1859 D ActivityManager: sync unfroze 14846 com.android.vending:background for 3
09-18 16:58:02.929  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:58:02.944  1810  4631 I BatteryService_BatteryPropertiesRegistrar: [getProperty]id:1
09-18 16:58:02.944  1810  4631 I BatteryService_BatteryPropertiesRegistrar: [getProperty]prop.long:-9223372036854775808 ,prop.string:null
09-18 16:58:02.945  1810  4631 I BatteryService_BatteryPropertiesRegistrar: [getProperty]id:4
09-18 16:58:02.945  1810  4631 I BatteryService_BatteryPropertiesRegistrar: [getProperty]prop.long:-9223372036854775808 ,prop.string:null
09-18 16:58:02.982  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:58:03.014 14370 14554 I NotificationManager: com.openai.chatgpt: notify(595233003, 6a68b94e-65c8-83e9-a813-d84bfd1568bd, Notification(channel=jawbone shortcut=null contentView=null vibrate=null sound=null defaults=0 flags=AUTO_CANCEL color=0x00000000 vis=PUBLIC semFlags=0x0 semPriority=0 semMissedCount=0 semScenarioType=0)) as user
09-18 16:58:03.238  1810  3566 D FreecessHandler: skipping freeze com.whatsapp.w4b(10328) result : 7
09-18 16:58:03.263  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:58:03.379  1810  3020 E AppOps  : java.lang.SecurityException: Specified package "com.android.phone" under uid 10239 but it is not
09-18 16:58:03.688  1810  1980 W ActivityManager: Scheduling restart of crashed service com.samsung.android.app.routines/.preloadproviders.common.notification.PreloadNotificationListenerService in 30000ms for start-requested
09-18 16:58:03.730  1810  4422 E TaskPersister: File error accessing recents directory (directory doesn't exist?).
09-18 16:58:04.375  1810  1841 E AppOps  : java.lang.SecurityException: Specified package "com.android.phone" under uid 10239 but it is not
09-18 16:58:05.372  1810  1857 W ActivityManager: Rescheduling restart of crashed service com.samsung.android.app.routines/.preloadproviders.common.notification.PreloadNotificationListenerService in 18316ms for mem-pressure-event
09-18 16:58:05.398   615   615 D io_stats: !@ Write_top(KB): kworker/u32:5:/(27950) 9584 f2fs_ckpt-254:6:/(818) 5000 system_server:high(1810) 580
09-18 16:58:06.006  1810  1980 I BatteryService_BatteryPropertiesRegistrar: [getProperty]id:1
09-18 16:58:06.006  1810  1980 I BatteryService_BatteryPropertiesRegistrar: [getProperty]prop.long:-9223372036854775808 ,prop.string:null
09-18 16:58:06.008  1810  1980 I BatteryService_BatteryPropertiesRegistrar: [getProperty]id:4
09-18 16:58:06.008  1810  1980 I BatteryService_BatteryPropertiesRegistrar: [getProperty]prop.long:-9223372036854775808 ,prop.string:null
09-18 16:58:06.351  1810  3566 D MARs:ActiveTrafficFilter: filter : br.com.wanotifkeeper(0)
09-18 16:58:06.351  1810  3566 D FreecessHandler: skipping freeze br.com.wanotifkeeper(10545) result : 8
09-18 16:58:07.101  1810  1857 W ActivityManager: Rescheduling restart of crashed service com.samsung.android.app.routines/.preloadproviders.common.notification.PreloadNotificationListenerService in 0ms for mem-pressure-event
09-18 16:58:07.137  1810  1860 I ActivityManager: Start proc 25712:com.samsung.android.app.routines/u0a62 for service {com.samsung.android.app.routines/com.samsung.android.app.routines.preloadproviders.common.notification.PreloadNotificationListenerService}
09-18 16:58:07.706  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:58:07.750  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:58:07.928  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:58:07.993  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:58:08.091  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:58:08.199  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:58:08.386 25766 25791 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.sendBroadcast:1374 android.content.ContextWrapper.sendBroadcast:528 android.speech.tts.TextToSpeechService$SynthThread.broadcastTtsQueueProcessingCompleted:471 android.speech.tts.TextToSpeechService$SynthThread.queueIdle:463 android.os.MessageQueue.nextConcurrent:948 
09-18 16:58:08.388 25766 25791 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.sendBroadcast:1374 android.content.ContextWrapper.sendBroadcast:528 android.speech.tts.TextToSpeechService$SynthThread.broadcastTtsQueueProcessingCompleted:471 android.speech.tts.TextToSpeechService$SynthThread.queueIdle:463 android.os.MessageQueue.nextConcurrent:948 
09-18 16:58:08.775  1810  1810 D SemApeController: updateAppState: type=0x10 (false) uid=-1  (before=0x10 after=0x00) size=0, foreground uid=10344 com.zhiliaoapp.musically
09-18 16:58:09.256  1810  3566 D FreecessHandler: skipping freeze com.whatsapp.w4b(10328) result : 7
